,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  Qld ;  Persons ;  85 and over ;
Jun-2053,94101,93855,93985,94028,94218,94433,94589,94620,94679,94702,94726,94569,94454,94350,94197,94140,94198,93984,94461,96022,97356,98530,99630,100896,101889,102442,102732,102869,102630,102359,102014,101732,101171,100645,100081,99595,97235,100260,99747,100112,101103,100832,100896,101488,100637,100663,99875,97805,95286,94278,93320,93183,94176,93598,92617,92025,91180,90854,91243,89835,87914,86450,85799,84866,81751,79965,78233,77644,75810,74361,73062,69409,66681,63212,60016,57914,56488,55585,54230,54268,53535,52827,51107,45650,42095,281269
Jun-2054,94932,94679,94799,94824,94992,95184,95314,95345,95400,95432,95468,95327,95238,95143,95001,94939,94977,94730,95169,96699,97999,99169,100241,101523,102528,103108,103485,103723,103532,103316,103020,102794,102293,101818,101323,100846,100348,98001,101076,100560,100780,101781,101354,101423,101808,100980,100958,100103,97983,95369,94379,93226,93172,94085,93528,92505,91834,90987,90719,91061,89669,87774,86257,85493,84562,81389,79588,77843,77187,75288,73766,72357,68642,65805,62279,59010,56821,55265,54301,52713,52583,51635,50672,48739,43206,284971
Jun-2055,95758,95512,95626,95639,95790,95960,96067,96072,96128,96156,96202,96070,95999,95929,95795,95745,95776,95507,95912,97407,98673,99808,100874,102125,103147,103738,104143,104470,104375,104207,103970,103799,103351,102939,102492,102088,101599,101119,98801,101902,101234,101456,102308,101888,101747,102157,101276,101184,100284,98063,95468,94278,93219,93084,94010,93410,92312,91641,90857,90541,90892,89528,87577,85949,85183,84182,81003,79194,77388,76660,74688,73061,71559,67743,64837,61234,57899,55596,53994,52786,51085,50720,49532,48330,46135,289275
Jun-2056,96572,96337,96461,96468,96607,96763,96845,96828,96857,96887,96929,96805,96745,96695,96582,96540,96583,96304,96687,98149,99378,100477,101505,102753,103741,104350,104764,105121,105114,105044,104854,104742,104354,103993,103612,103258,102841,102372,101929,99613,102589,101919,101980,102847,102215,102098,102457,101501,101364,100364,98160,95364,94263,93133,93010,93885,93210,92115,91510,90681,90375,90749,89330,87264,85636,84799,83780,80601,78734,76862,76052,73977,72261,70621,66749,63752,60084,56657,54322,52494,51161,49283,48658,47245,45754,295867
Jun-2057,97366,97152,97289,97304,97439,97581,97650,97605,97617,97619,97661,97534,97480,97442,97350,97328,97380,97108,97482,98924,100117,101178,102168,103373,104360,104935,105368,105735,105759,105775,105684,105624,105290,104993,104666,104378,104013,103615,103184,102750,100285,103283,102450,102517,103180,102569,102401,102687,101680,101443,100461,98049,95350,94173,93064,92888,93677,93004,91981,91333,90520,90237,90549,89013,86948,85249,84391,83361,80131,78201,76256,75331,73169,71322,69587,65636,62557,58796,55363,52821,50883,49361,47288,46416,44733,301492
Jun-2058,98138,97944,98104,98132,98276,98414,98471,98411,98397,98381,98397,98268,98213,98180,98099,98098,98170,97905,98284,99720,100891,101915,102863,104029,104972,105545,105948,106334,106365,106415,106410,106448,106169,105926,105662,105431,105134,104789,104428,104009,103429,100966,103824,102993,102847,103538,102875,102634,102871,101758,101539,100348,98030,95258,94097,92945,92683,93466,92863,91803,91171,90386,90043,90228,88692,86554,84838,83965,82871,79589,77588,75537,74512,72221,70284,68429,64408,61219,57455,53835,51207,49099,47367,45117,43952,305601
Jun-2059,98881,98718,98900,98946,99106,99254,99305,99234,99203,99162,99161,99007,98948,98914,98839,98848,98941,98694,99080,100523,101684,102687,103595,104718,105621,106148,106547,106906,106956,107016,107046,107170,106988,106800,106591,106425,106186,105911,105605,105254,104692,104121,101497,104377,103327,103204,103849,103111,102822,102952,101853,101420,100330,97930,95182,93973,92743,92475,93318,92675,91638,91036,90194,89727,89905,88294,86136,84412,83474,82307,78965,76863,74719,73552,71172,69121,67154,63035,59829,55875,52194,49421,47124,45199,42730,308509
Jun-2060,99601,99460,99675,99745,99923,100085,100147,100069,100028,99971,99944,99772,99690,99653,99574,99590,99692,99462,99867,101321,102486,103475,104361,105442,106301,106790,107143,107500,107523,107602,107642,107804,107705,107616,107464,107355,107179,106964,106729,106436,105938,105384,104656,102039,104718,103690,103514,104088,103303,102905,103052,101736,101397,100228,97845,95054,93766,92539,92331,93126,92502,91501,90843,89882,89406,89501,87872,85703,83915,82906,81658,78225,76038,73759,72490,69998,67840,65727,61607,58185,54175,50377,47438,44975,42815,309895
Jun-2061,100293,100180,100419,100519,100724,100904,100981,100913,100867,100798,100756,100555,100456,100397,100315,100326,100437,100213,100636,102111,103283,104276,105146,106202,107015,107462,107777,108089,108108,108162,108222,108397,108337,108330,108276,108224,108108,107957,107783,107561,107121,106634,105922,105206,102376,105087,104006,103754,104280,103389,103008,102934,101714,101292,100142,97712,94842,93559,92396,92144,92946,92358,91306,90529,89565,89009,89075,87432,85197,83344,82253,80892,77382,75064,72697,71299,68703,66404,64240,59921,56421,52292,48365,45282,42609,311094
Jun-2062,100958,100871,101139,101262,101498,101709,101802,101749,101712,101637,101586,101370,101242,101166,101059,101067,101175,100956,101386,102883,104074,105073,105943,106980,107769,108168,108443,108715,108691,108742,108778,108976,108927,108960,108987,109033,108975,108884,108776,108618,108247,107818,107172,106473,105543,102738,105408,104249,103947,104369,103496,102893,102913,101609,101202,100008,97490,94629,93414,92210,91970,92795,92154,90990,90210,89173,88588,88630,86918,84617,82688,81481,80020,76391,73987,71508,69985,67254,64910,62487,58111,54467,50206,46174,42909,311872
Jun-2063,101607,101537,101831,101984,102244,102485,102609,102571,102549,102486,102427,102200,102058,101953,101831,101813,101917,101694,102130,103636,104845,105864,106736,107771,108540,108914,109140,109375,109309,109318,109354,109527,109503,109547,109615,109743,109782,109751,109704,109611,109306,108946,108357,107727,106810,105908,103054,105658,104447,104035,104477,103384,102876,102808,101521,101065,99782,97269,94478,93225,92040,91823,92586,91830,90669,89813,88755,88148,88112,86328,83952,81913,80604,78997,75297,72778,70195,68512,65747,63145,60603,56105,52300,47936,43760,312746
Jun-2064,102243,102186,102498,102676,102966,103231,103386,103379,103374,103325,103277,103042,102890,102773,102620,102587,102666,102435,102868,104383,105599,106634,107524,108557,109325,109677,109880,110065,109963,109930,109924,110100,110051,110120,110200,110371,110491,110556,110571,110540,110300,110009,109485,108911,108065,107176,106225,103297,105861,104540,104143,104364,103370,102775,102721,101383,100839,99556,97109,94285,93047,91897,91619,92256,91500,90271,89394,88319,87637,87517,85652,83167,81031,79573,77866,74072,71447,68724,66982,63966,61251,58514,53881,49942,45438,314246
Jun-2065,102868,102820,103148,103344,103661,103956,104133,104156,104183,104153,104120,103892,103734,103606,103440,103376,103441,103184,103607,105123,106346,107388,108290,109340,110104,110455,110635,110799,110649,110581,110531,110668,110621,110666,110770,110956,111120,111265,111378,111410,111231,111004,110549,110040,109247,108432,107494,106471,103496,105959,104651,104032,104352,103271,102689,102584,101157,100610,99399,96905,94107,92898,91697,91293,91921,91092,89846,88956,87811,87047,86834,84854,82272,79996,78435,76598,72722,69955,67195,65174,62053,59150,56202,51456,47344,317140
Jun-2066,103487,103445,103783,103994,104329,104652,104861,104904,104962,104962,104949,104737,104586,104452,104275,104198,104232,103958,104356,105866,107087,108134,109041,110102,110881,111227,111406,111548,111375,111261,111177,111271,111185,111233,111316,111525,111704,111891,112087,112215,112100,111937,111545,111106,110378,109615,108751,107740,106669,103590,106077,104543,104019,104255,103189,102555,102357,100929,100448,99193,96717,93954,92691,91375,90964,91508,90661,89406,88443,87226,86371,86026,83947,81222,78854,77161,75202,71206,68405,65385,63231,59931,56820,53680,48787,321566
