,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  0 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  1 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  2 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  3 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  4 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  5 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  6 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  7 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  8 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  9 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  10 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  11 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  12 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  13 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  14 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  15 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  16 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  17 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  18 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  19 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  20 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  21 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  22 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  23 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  24 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  25 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  26 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  27 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  28 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  29 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  30 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  31 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  32 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  33 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  34 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  35 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  36 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  37 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  38 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  39 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  40 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  41 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  42 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  43 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  44 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  45 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  46 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  47 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  48 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  49 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  50 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  51 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  52 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  53 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  54 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  55 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  56 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  57 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  58 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  59 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  60 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  61 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  62 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  63 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  64 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  65 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  66 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  67 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  68 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  69 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  70 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  71 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  72 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  73 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  74 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  75 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  76 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  77 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  78 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  79 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  80 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  81 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  82 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  83 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  84 ;,Projected persons ;  Series 29(B) ;  ACT ;  Persons ;  85 and over ;
Jun-2053,8339,8267,8209,8153,8126,8105,8052,8000,7940,7844,7772,7712,7667,7582,7518,7514,7554,7711,8696,9528,9879,10069,10364,10671,10846,10805,10707,10654,10608,10561,10437,10348,10334,10257,10193,10118,9790,10045,9853,9716,9726,9600,9517,9486,9324,9226,9111,8894,8582,8438,8327,8243,8255,8168,8045,7922,7743,7574,7481,7250,6942,6692,6597,6474,6219,6013,5809,5751,5569,5469,5220,5038,4784,4514,4312,4086,4018,3886,3806,3753,3692,3672,3544,3180,2963,20708
Jun-2054,8420,8345,8291,8227,8203,8181,8123,8076,8016,7925,7846,7792,7748,7660,7598,7589,7628,7779,8768,9600,9947,10132,10432,10741,10921,10882,10784,10739,10699,10655,10542,10460,10450,10382,10325,10248,10122,9801,10012,9812,9703,9715,9609,9511,9482,9280,9231,9112,8840,8543,8406,8276,8187,8183,8110,7946,7802,7625,7480,7355,7161,6847,6569,6518,6384,6117,5914,5731,5675,5493,5395,5153,4950,4718,4446,4276,4032,3942,3798,3710,3665,3582,3531,3402,3043,21011
Jun-2055,8500,8426,8370,8309,8275,8258,8200,8146,8091,8000,7926,7866,7827,7740,7676,7669,7703,7856,8843,9676,10022,10201,10497,10811,10992,10956,10860,10816,10784,10747,10637,10565,10562,10499,10450,10381,10253,10132,9770,9971,9797,9691,9722,9603,9507,9436,9284,9233,9060,8800,8510,8354,8219,8115,8127,8009,7825,7682,7530,7354,7266,7062,6723,6492,6427,6280,6017,5836,5657,5597,5419,5325,5066,4883,4646,4410,4218,3956,3852,3701,3622,3556,3444,3389,3254,21356
Jun-2056,8580,8506,8451,8389,8360,8330,8276,8223,8163,8076,8001,7946,7902,7819,7756,7747,7784,7931,8926,9755,10097,10274,10566,10874,11063,11028,10934,10891,10862,10831,10728,10659,10667,10613,10568,10506,10386,10262,10099,9730,9955,9784,9701,9714,9598,9461,9440,9285,9179,9020,8766,8457,8297,8147,8058,8024,7887,7707,7587,7404,7263,7167,6931,6643,6403,6322,6177,5937,5760,5581,5521,5350,5234,4996,4809,4608,4351,4137,3867,3754,3613,3515,3419,3308,3243,21871
Jun-2057,8658,8586,8531,8468,8439,8414,8348,8299,8239,8146,8078,8020,7982,7893,7835,7826,7862,8012,9009,9842,10178,10352,10640,10945,11126,11098,11007,10966,10936,10911,10811,10750,10762,10717,10683,10624,10512,10395,10228,10057,9717,9943,9792,9693,9711,9551,9464,9441,9229,9138,8985,8710,8399,8225,8089,7959,7902,7767,7613,7460,7314,7163,7034,6846,6551,6299,6219,6094,5860,5683,5507,5451,5261,5161,4921,4772,4546,4269,4043,3769,3665,3506,3379,3283,3165,22328
Jun-2058,8734,8665,8612,8549,8518,8493,8432,8370,8314,8222,8147,8098,8056,7974,7909,7905,7941,8092,9095,9929,10266,10432,10719,11019,11198,11162,11076,11038,11011,10984,10890,10834,10853,10812,10787,10739,10630,10522,10362,10184,10043,9707,9952,9784,9690,9664,9553,9465,9383,9187,9103,8929,8651,8325,8168,7989,7838,7782,7672,7485,7369,7213,7030,6949,6751,6445,6197,6136,6014,5781,5607,5437,5359,5190,5082,4882,4708,4460,4174,3941,3681,3555,3370,3245,3142,22669
Jun-2059,8810,8741,8689,8630,8600,8573,8511,8455,8386,8297,8224,8166,8132,8047,7988,7979,8020,8172,9184,10021,10354,10519,10799,11098,11271,11235,11140,11109,11082,11059,10963,10913,10939,10904,10883,10845,10743,10640,10486,10318,10169,10030,9715,9945,9780,9643,9666,9553,9410,9339,9152,9046,8870,8573,8267,8065,7868,7720,7686,7544,7393,7268,7080,6945,6851,6639,6340,6116,6056,5933,5704,5536,5346,5287,5113,5041,4817,4620,4360,4068,3847,3572,3418,3236,3105,22956
Jun-2060,8883,8817,8766,8706,8680,8655,8591,8533,8471,8368,8298,8243,8201,8123,8061,8057,8094,8251,9271,10113,10448,10609,10887,11179,11352,11307,11212,11171,11154,11129,11038,10985,11019,10991,10975,10939,10850,10752,10604,10442,10304,10157,10038,9707,9941,9732,9646,9664,9495,9366,9303,9095,8985,8791,8514,8164,7943,7749,7625,7559,7451,7291,7134,6994,6847,6739,6532,6256,6038,5977,5855,5632,5444,5275,5209,5074,4974,4727,4517,4250,3973,3733,3435,3281,3097,23169
Jun-2061,8954,8890,8843,8783,8757,8735,8673,8613,8547,8453,8369,8316,8278,8192,8137,8131,8172,8325,9356,10206,10541,10704,10978,11267,11432,11388,11286,11244,11216,11200,11108,11060,11090,11071,11062,11034,10944,10860,10715,10559,10426,10290,10166,10030,9703,9894,9734,9645,9606,9452,9330,9245,9034,8905,8731,8408,8041,7824,7654,7497,7466,7348,7157,7048,6895,6735,6631,6444,6175,5958,5899,5781,5538,5370,5198,5170,5007,4880,4622,4404,4150,3855,3589,3298,3140,23347
Jun-2062,9022,8961,8916,8859,8833,8812,8753,8696,8627,8529,8453,8387,8351,8268,8206,8208,8246,8405,9438,10296,10635,10797,11073,11359,11521,11467,11365,11317,11288,11263,11176,11129,11166,11140,11142,11121,11040,10954,10823,10669,10544,10412,10299,10158,10026,9657,9895,9733,9587,9562,9414,9271,9181,8953,8844,8623,8280,7920,7728,7527,7406,7363,7212,7071,6949,6781,6626,6543,6360,6093,5881,5825,5686,5465,5292,5159,5103,4914,4773,4506,4301,4027,3708,3447,3158,23545
Jun-2063,9089,9029,8987,8932,8909,8888,8828,8774,8712,8608,8529,8472,8424,8340,8282,8275,8325,8479,9524,10383,10726,10891,11166,11454,11614,11557,11443,11394,11359,11335,11240,11197,11234,11217,11211,11202,11127,11048,10916,10776,10654,10531,10420,10290,10153,9979,9659,9894,9675,9543,9525,9354,9207,9101,8890,8733,8493,8155,7821,7599,7435,7304,7227,7124,6972,6835,6670,6539,6458,6275,6014,5808,5729,5611,5385,5253,5093,5010,4807,4654,4402,4176,3874,3562,3299,23743
Jun-2064,9155,9096,9053,9002,8982,8963,8906,8851,8789,8694,8608,8548,8508,8412,8354,8353,8391,8560,9605,10474,10815,10982,11261,11547,11708,11649,11534,11473,11438,11406,11313,11261,11302,11285,11287,11271,11206,11136,11010,10869,10760,10640,10540,10410,10285,10104,9981,9659,9834,9630,9506,9467,9290,9125,9036,8778,8601,8364,8054,7691,7507,7333,7170,7139,7024,6857,6724,6582,6452,6372,6193,5938,5713,5653,5531,5345,5184,5000,4900,4689,4547,4275,4017,3721,3410,24051
Jun-2065,9218,9162,9121,9069,9052,9037,8980,8927,8865,8771,8694,8627,8585,8496,8425,8425,8469,8626,9693,10559,10907,11071,11354,11643,11803,11744,11624,11565,11515,11485,11382,11333,11366,11353,11356,11345,11276,11215,11098,10963,10852,10746,10650,10531,10405,10235,10106,9980,9602,9787,9591,9446,9402,9208,9060,8923,8643,8471,8261,7921,7597,7404,7198,7084,7039,6910,6746,6636,6496,6366,6288,6115,5840,5639,5571,5491,5276,5090,4893,4780,4583,4415,4113,3859,3562,24428
Jun-2066,9283,9224,9186,9136,9119,9106,9053,9002,8941,8845,8771,8714,8664,8574,8510,8496,8543,8704,9767,10652,10993,11162,11443,11737,11900,11837,11720,11655,11608,11562,11462,11402,11439,11418,11424,11415,11349,11284,11176,11051,10946,10837,10755,10640,10527,10354,10237,10104,9919,9558,9747,9531,9382,9319,9142,8946,8786,8512,8366,8124,7825,7492,7268,7111,6987,6924,6799,6658,6550,6409,6283,6209,6014,5764,5558,5530,5422,5182,4980,4774,4670,4450,4248,3954,3695,24910
