Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,10,3,0,3,7,4,3,3,0,3,0,0,10,5,26,0,0,10,4,11,3,3,6,5,0,0,0,0,0,0,0,0,9,0,3,0,3,5,8,0,0,0,12,0,14,17,14,0,8,12,3,5,6,3,0,17,4,0,4,6,0,0,6,9,0,22,0,3,0,4,17,11,12,8,4,6,10,3,0,8,31,3,17,0,0,16,0,0,4,0,7,3,0,3,0,4,8,4,3,7,11,12,4,7,11,0,10,3,4,0,3
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Rep.,3,0,0,0,3,0,3,0,0,0,0,0,0,0,7,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,3,0,3,0,10,0,6,0,0,0,0,0,0,4,0,3,3,5,0,0,0,0,0,3,3,0,0,0,5,0,5,0,3,0,0
Estonia,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Hungary,5,3,3,4,3,0,3,8,7,0,6,0,0,0,3,10,3,0,3,4,7,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,8,0,0,11,11,6,0,4,5,0,6,7,0,0,5,0,0,4,0,0,16,0,11,6,3,4,7,4,0,3,0,0,6,3,0,13,0,6,0,3,3,5,0,10,0,0,0,12,0,0,3,3,4,11,8,6,3,3,4,7,3,0,4,0,0,0
Latvia,7,0,0,0,4,0,0,0,0,0,0,0,3,0,3,4,0,0,3,3,3,0,6,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,3,0,0,0,0,0,0,0,3,4,0,0,3,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,7,3,4,3,3,0,0,4,3,0,4,0,0,0,0
Lithuania,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,3,0,0,0,0,0,0,0,0,0,0
Poland,10,14,6,3,10,21,4,27,8,0,13,0,0,13,7,22,13,0,11,0,10,9,0,4,3,3,0,0,0,0,0,0,0,23,3,3,0,6,6,10,0,0,0,4,0,18,17,10,4,21,18,10,4,8,4,11,20,26,9,19,19,13,0,16,6,0,30,0,19,8,11,22,16,15,36,7,5,21,8,5,3,50,3,11,0,4,4,19,0,17,4,13,9,10,11,9,5,13,9,13,9,13,13,12,12,6,4,7,8,7,0,0
Russia,4,4,3,0,14,8,5,3,7,0,0,0,0,0,3,16,3,0,8,3,7,5,3,0,4,10,0,0,0,0,0,0,0,3,6,3,0,3,5,3,0,0,0,3,0,0,0,6,6,9,12,3,3,3,7,0,3,3,0,15,0,6,0,4,6,0,11,0,0,3,0,5,5,0,0,0,0,3,0,0,11,5,0,3,0,3,0,3,0,11,3,9,0,0,3,0,4,0,3,5,0,8,7,0,4,0,0,0,4,4,0,3
Slovakia,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ukraine,0,3,0,4,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,3,0,3,9,0,3,3,8,3,5,5,3,3,0,0,0,4,0,0,4,0,0,0,5,0,4,0,3,3,0,4,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,4,0,0,3,0,4,0,0,0,0
