Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,33,11,4,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
India,29,170,170,16,31,83,47,100,6,4,30,0,56,22,52,94,17,0,103,31,37,23,49,62,6,24,3,0,0,4,0,0,0,113,88,41,33,114,253,187,0,0,3,175,0,188,137,150,49,32,101,33,65,25,29,14,77,56,21,56,108,32,20,53,48,0,73,0,40,42,42,71,45,24,34,21,20,86,34,66,79,137,8,101,0,24,24,23,0,71,20,31,43,30,8,31,29,20,117,78,43,67,46,71,139,93,22,48,259,27,0,6
Nepal,0,13,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,15,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,13,0,0,0,3,0,0,11,5,3,11,14,3,4,0,5,3,6,3,8,9,8,7,0,8,5,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,7,3,3,0,15,5,5,15,10,0,3,4,4,0,0
Pakistan,7,31,26,0,3,39,17,31,0,0,3,0,17,25,27,33,4,0,34,12,11,8,12,18,0,13,0,0,0,0,0,0,0,12,23,20,14,11,63,21,0,0,0,21,0,69,23,45,24,0,45,5,18,7,3,4,14,12,4,7,5,0,3,4,5,0,15,0,3,0,25,4,3,0,4,3,0,12,5,9,5,4,0,8,0,3,0,8,0,22,0,0,3,6,0,8,3,3,12,4,15,14,5,4,11,21,4,6,5,0,0,0
Sri Lanka,7,33,66,13,16,18,14,43,9,0,9,0,18,8,15,40,4,0,25,18,32,11,16,13,0,4,0,0,0,0,0,0,0,44,52,26,5,36,83,59,0,0,0,47,0,106,90,85,19,12,25,7,12,8,10,9,25,22,3,3,12,15,5,16,18,0,49,0,23,3,36,38,15,12,28,13,0,54,13,11,40,54,3,95,0,8,6,20,0,33,11,3,6,9,12,9,7,3,24,33,23,44,20,51,29,31,31,16,30,25,0,0
Afghanistan,0,3,3,7,0,36,0,17,6,3,3,0,0,0,0,5,0,0,8,0,0,9,6,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,7,0,0,0,12,0,30,3,8,5,0,13,5,3,3,0,3,0,14,4,0,3,0,0,3,3,0,3,0,0,6,12,3,0,3,6,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,3,3,4,0,0,0,0,0,5,0,0,0
Armenia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Kyrgyzstan,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
