TIME, BPLP, STATE, REGIONTYPE, REGION, FREQUENCY, MEASURE_3
"2001","2100","1","SA2","107011132","A",506
"2001","2100","1","SA2","107011133","A",0
"2001","2100","1","SA2","107011134","A",966
"2001","2100","1","SA2","107021135","A",0
"2001","2100","1","SA2","107031136","A",864
"2001","2100","1","SA2","107031137","A",704
"2001","2100","1","SA2","107031138","A",501
"2001","2100","1","SA2","107031139","A",359
"2001","2100","1","SA2","107031140","A",366
"2001","2100","1","SA2","107031141","A",505
"2001","2100","1","SA2","107031142","A",729
"2001","2100","1","SA2","107031143","A",1872
"2001","2100","1","SA2","107041144","A",1064
"2001","2100","1","SA2","107041145","A",1029
"2001","2100","1","SA2","107041146","A",1097
"2001","2100","1","SA2","107041147","A",435
"2001","2100","1","SA2","107041148","A",625
"2001","2100","1","SA2","107041149","A",1275
"2001","2100","1","SA2","107041150","A",1133
"2001","2100","1","SA2","108011151","A",158
"2001","2100","1","SA2","108011152","A",636
"2001","2100","1","SA2","108011153","A",281
"2001","2100","1","SA2","108011154","A",274
"2001","2100","1","SA2","108021155","A",312
"2001","2100","1","SA2","108021156","A",357
"2001","2100","1","SA2","108021157","A",145
"2001","2100","1","SA2","108021158","A",418
"2001","2100","1","SA2","108021159","A",253
"2001","2100","1","SA2","108021160","A",176
"2001","2100","1","SA2","108031161","A",16
"2001","2100","1","SA2","108041162","A",677
"2001","2100","1","SA2","108041163","A",1549
"2001","2100","1","SA2","108041164","A",762
"2001","2100","1","SA2","108041165","A",169
"2001","2100","1","SA2","108041166","A",295
"2001","2100","1","SA2","108051167","A",131
"2001","2100","1","SA2","108051168","A",351
"2001","2100","1","SA2","108051169","A",518
"2001","2100","1","SA2","108051170","A",403
"2001","2100","1","SA2","108051171","A",166
"2001","2100","1","SA2","109011172","A",275
"2001","2100","1","SA2","109011173","A",230
"2001","2100","1","SA2","109011174","A",331
"2001","2100","1","SA2","109011175","A",234
"2001","2100","1","SA2","109011176","A",380
"2001","2100","1","SA2","109021177","A",47
"2001","2100","1","SA2","109021178","A",134
"2001","2100","1","SA2","109021179","A",60
"2001","2100","1","SA2","109031180","A",179
"2001","2100","1","SA2","109031181","A",206
"2001","2100","1","SA2","109031182","A",181
"2001","2100","1","SA2","109031183","A",158
"2001","2100","1","SA2","109031184","A",117
"2001","2100","1","SA2","109031185","A",268
"2001","2100","1","SA2","110011186","A",617
"2001","2100","1","SA2","110011187","A",74
"2001","2100","1","SA2","110011188","A",141
"2001","2100","1","SA2","110011189","A",52
"2001","2100","1","SA2","110021190","A",221
"2001","2100","1","SA2","110021191","A",165
"2001","2100","1","SA2","110021192","A",111
"2001","2100","1","SA2","110021193","A",113
"2001","2100","1","SA2","110021194","A",163
"2001","2100","1","SA2","110031195","A",129
"2001","2100","1","SA2","110031196","A",71
"2001","2100","1","SA2","110031197","A",90
"2001","2100","1","SA2","110031198","A",60
"2001","2100","1","SA2","110041199","A",117
"2001","2100","1","SA2","110041200","A",67
"2001","2100","1","SA2","110041201","A",160
"2001","2100","1","SA2","110041202","A",335
"2001","2100","1","SA2","110041203","A",264
"2001","2100","1","SA2","110041204","A",56
"2001","2100","1","SA2","110041205","A",417
"2001","2100","1","SA2","111011206","A",574
"2001","2100","1","SA2","111011207","A",153
"2001","2100","1","SA2","111011208","A",697
"2001","2100","1","SA2","111011209","A",702
"2001","2100","1","SA2","111011210","A",299
"2001","2100","1","SA2","111011211","A",157
"2001","2100","1","SA2","111011212","A",415
"2001","2100","1","SA2","111011213","A",538
"2001","2100","1","SA2","111011214","A",555
"2001","2100","1","SA2","111021215","A",290
"2001","2100","1","SA2","111021216","A",345
"2001","2100","1","SA2","111021217","A",274
"2001","2100","1","SA2","111021218","A",646
"2001","2100","1","SA2","111021219","A",592
"2001","2100","1","SA2","111021220","A",362
"2001","2100","1","SA2","111021221","A",149
"2001","2100","1","SA2","111031222","A",424
"2001","2100","1","SA2","111031223","A",230
"2001","2100","1","SA2","111031224","A",335
"2001","2100","1","SA2","111031225","A",484
"2001","2100","1","SA2","111031226","A",211
"2001","2100","1","SA2","111031227","A",429
"2001","2100","1","SA2","111031228","A",375
"2001","2100","1","SA2","111031229","A",341
"2001","2100","1","SA2","111031230","A",0
"2001","2100","1","SA2","111031231","A",245
"2001","2100","1","SA2","111031232","A",245
"2001","2100","1","SA2","111031233","A",462
"2001","2100","1","SA2","111031234","A",299
"2001","2100","1","SA2","111031235","A",152
"2001","2100","1","SA2","112011236","A",619
"2001","2100","1","SA2","112011237","A",616
"2001","2100","1","SA2","112011238","A",237
"2001","2100","1","SA2","112011239","A",386
"2001","2100","1","SA2","112011240","A",533
"2001","2100","1","SA2","112011241","A",136
"2001","2100","1","SA2","112011242","A",239
"2001","2100","1","SA2","112011243","A",382
"2001","2100","1","SA2","112021244","A",173
"2001","2100","1","SA2","112021245","A",181
"2001","2100","1","SA2","112021246","A",249
"2001","2100","1","SA2","112021247","A",222
"2001","2100","1","SA2","112021248","A",356
"2001","2100","1","SA2","112021249","A",577
"2001","2100","1","SA2","112031250","A",552
"2001","2100","1","SA2","112031251","A",272
"2001","2100","1","SA2","112031252","A",463
"2001","2100","1","SA2","112031253","A",494
"2001","2100","1","SA2","112031254","A",1494
"2001","2100","1","SA2","112031255","A",1946
"2001","2100","1","SA2","113011256","A",214
"2001","2100","1","SA2","113011257","A",207
"2001","2100","1","SA2","113011258","A",167
"2001","2100","1","SA2","113011259","A",115
"2001","2100","1","SA2","113021260","A",108
"2001","2100","1","SA2","113021261","A",138
"2001","2100","1","SA2","113021262","A",144
"2001","2100","1","SA2","113031263","A",139
"2001","2100","1","SA2","113031264","A",44
"2001","2100","1","SA2","113031265","A",104
"2001","2100","1","SA2","113031266","A",115
"2001","2100","1","SA2","113031267","A",292
"2001","2100","1","SA2","113031268","A",61
"2001","2100","1","SA2","113031269","A",318
"2001","2100","1","SA2","113031270","A",245
"2001","2100","1","SA2","113031271","A",258
"2001","2100","1","SA2","114011272","A",626
"2001","2100","1","SA2","114011273","A",188
"2001","2100","1","SA2","114011274","A",284
"2001","2100","1","SA2","114011275","A",0
"2001","2100","1","SA2","114011276","A",223
"2001","2100","1","SA2","114011277","A",927
"2001","2100","1","SA2","114011278","A",755
"2001","2100","1","SA2","114011279","A",751
"2001","2100","1","SA2","114011280","A",272
"2001","2100","1","SA2","114011281","A",130
"2001","2100","1","SA2","114011282","A",749
"2001","2100","1","SA2","114011283","A",265
"2001","2100","1","SA2","114021284","A",856
"2001","2100","1","SA2","114021285","A",398
"2001","2100","1","SA2","114021286","A",472
"2001","2100","1","SA2","114021287","A",471
"2001","2100","1","SA2","114021288","A",215
"2001","2100","1","SA2","114021289","A",403
"2001","2100","1","SA2","115011290","A",1004
"2001","2100","1","SA2","115011291","A",799
"2001","2100","1","SA2","115011292","A",1430
"2001","2100","1","SA2","115011293","A",1345
"2001","2100","1","SA2","115011294","A",410
"2001","2100","1","SA2","115011295","A",587
"2001","2100","1","SA2","115011296","A",616
"2001","2100","1","SA2","115021297","A",1145
"2001","2100","1","SA2","115021298","A",327
"2001","2100","1","SA2","115031299","A",156
"2001","2100","1","SA2","115031300","A",1168
"2001","2100","1","SA2","115041301","A",402
"2001","2100","1","SA2","115041302","A",435
"2001","2100","1","SA2","116011303","A",505
"2001","2100","1","SA2","116011304","A",593
"2001","2100","1","SA2","116011305","A",770
"2001","2100","1","SA2","116011306","A",494
