Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,Molonglo Corridor,West Belconnen,Hume,Kowen,Canberra East,Canberra Airport,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Gungahlin - East,Gungahlin - West,Jacka,Kenny,Moncrieff,Taylor,Throsby,Acton,Ainslie,Braddon,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Turner,Watson,Black Mountain,Campbell,Duntroon,Parkes (ACT) - North,Reid,Russell,Deakin,Forrest,Griffith (ACT),Lake Burley Griffin,Narrabundah,Parkes (ACT) - South,Red Hill (ACT),Yarralumla,Barton,Fyshwick,Kingston (ACT),Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Tuggeranong - West,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Scrivener,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Arboretum,Coombs,Denman Prospect,Molonglo,Molonglo - North,Wright,ACT - South West,Namadgi,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,6,9,5,5,4,7,4,9,3,0,0,0,3,0,27,5,0,13,0,7,6,3,0,0,0,0,0,0,0,0,0,0,0,7,7,13,3,3,9,0,12,0,16,4,7,0,0,0,0,0,0,0,0,0,9,0,0,4,0,16,9,4,15,0,0,0,0,0,0,0,0,0,0,11,0,4,0,3,0,0,7,9,7,15,0,8,0,12,0,3,9,22,3,15,0,0,9,0,0,10,0,0,5,7,4,8,0,9,8,0,8,3,8,5,3,5,3,12,4,9,6,3,0,3,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,10,0,5,0,0,0,4,0,0,5,0,10,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,4,0,3,0,7,0,5,6,6,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,5,4,4,4,3,9,4,0,3,0,0,0,0,11,4,0,4,4,8,3,4,0,3,0,0,0,0,0,0,0,0,4,0,6,6,0,0,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,13,4,0,4,5,0,0,10,6,0,0,0,0,0,4,0,0,0,0,0,6,0,3,6,0,0,0,0,0,3,4,0,4,0,4,4,4,0,16,0,4,0,0,3,6,0,11,0,4,0,0,4,0,0,7,5,0,3,0,8,6,3,0,5,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0
Latvia,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,5,3,4,0,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,8,31,20,0,5,16,8,24,6,5,14,0,0,3,9,15,5,0,19,5,13,5,6,6,3,0,0,0,0,0,0,0,0,25,23,7,0,10,3,8,0,8,0,11,18,10,0,0,3,0,0,0,0,0,15,14,4,3,8,5,24,9,17,12,0,12,3,0,3,0,10,0,16,0,23,0,10,4,3,0,13,8,19,17,18,17,4,4,15,11,5,3,42,5,10,0,7,5,19,0,17,0,9,11,8,15,6,7,14,10,0,5,8,4,13,4,18,7,7,3,8,8,6,0,5,0,0,0,5,0,0,0,0
Russia,3,11,10,0,5,10,5,9,6,0,0,0,0,0,0,14,0,0,15,3,0,0,6,0,3,6,0,0,0,0,0,0,0,0,10,3,7,9,11,4,0,5,0,5,0,4,0,0,3,0,0,0,0,3,10,11,7,4,0,5,7,6,5,6,0,4,0,0,0,0,3,0,7,0,3,0,4,0,0,0,7,0,0,13,0,0,0,0,0,0,0,7,5,0,3,0,8,0,3,0,10,0,0,7,0,0,0,0,3,0,0,0,0,0,6,4,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,3,0,0,10,0,0,0,0,0,4,0,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,3,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,10,0,0,4,4,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0
